YEAR,PLAYER,POS,HAND LENGTH (Inches),HAND WIDTH (INCHES),HEIGHT W/O SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
2024,AJ Johnson,SG,8.50,8.50,76.25,102.0,167.0,80.5
2024,Adem Bona,C,9.50,10.00,80.25,108.0,243.2,87.75
2024,Ajay Mitchell,PG,8.50,8.50,75.25,101.0,197.0,78.25
2024,Alex Karaban,PF,8.75,9.25,78.5,106.5,219.2,83.0
2024,Alexandre Sarr,C,9.00,10.00,83.75,110.0,224.2,88.25
2024,Antonio Reeves,SG,9.00,10.00,76.5,100.5,186.6,80.25
2024,Ariel Hukporti,C,9.25,10.25,82.75,111.0,246.2,86.5
2024,Baylor Scheierman,SF,9.25,9.75,78.25,102.5,201.6,80.25
2024,Bobi Klintman,PF,8.75,10.00,80.75,106.5,212.2,83.0
2024,Boogie Ellis,PG-SG,9.00,9.50,72.75,98.0,185.0,79.0
2024,Bronny James,SG,8.50,9.50,73.5,98.5,210.4,79.25
2024,Cam Christie,SG,8.00,8.00,76.5,101.5,190.4,80.0
2024,Cam Spencer,SG,8.50,9.75,75.0,98.5,201.8,77.0
2024,Carlton Carrington,PG,8.50,9.25,75.75,99.0,194.8,80.0
2024,Cody Williams,SF,8.25,9.00,78.5,103.0,178.4,85.0
2024,Coleman Hawkins,PF,8.75,8.75,80.25,107.0,215.2,84.0
2024,DaRon Holmes II,C,8.75,9.00,80.75,108.0,236.2,85.0
2024,Dalton Knecht,SF,8.50,9.50,77.25,103.5,212.2,81.0
2024,David Jones,SF,8.50,9.50,75.5,100.0,211.2,78.75
2024,Devin Carter,SG,8.75,9.00,74.25,98.0,193.0,80.75
2024,Dillon Jones,SF,9.00,9.25,76.5,100.5,236.8,83.0
2024,Donovan Clingan,C,10.00,10.25,85.75,115.0,282.0,90.75
2024,Enrique Freeman,PF,8.75,10.00,79.25,108.0,212.0,86.0
2024,Harrison Ingram,SF,9.00,10.25,77.25,102.5,233.6,84.25
2024,Hunter Sallis,SG,8.00,9.50,75.5,100.5,179.4,81.75
2024,Isaac Jones,C,9.25,10.25,79.75,108.0,235.0,87.0
2024,Isaiah Collier,PG,8.50,9.00,74.5,97.5,204.6,76.75
2024,Izan Almansa,C,9.25,9.25,81.25,110.0,219.6,85.0
2024,JT Toppin,PF,9.25,9.25,79.0,106.0,221.0,84.5
2024,Ja'Kobe Walter,SG,8.75,9.75,76.25,102.5,197.6,82.0
2024,Jalen Bridges,SF,9.00,10.00,78.75,105.0,213.4,82.0
2024,Jamal Shead,PG,8.25,8.75,72.25,96.0,200.8,75.0
2024,Jamir Watkins,SF,9.00,9.50,77.0,104.0,211.6,82.75
2024,Jared McCain,SG,8.25,9.50,74.0,98.0,203.2,75.5
2024,Jaxson Robinson,SG,9.00,9.50,76.75,103.0,188.6,83.25
2024,Jaylen Wells,SF,8.25,9.25,78.5,103.5,206.2,79.25
2024,Jaylon Tyson,SF,8.25,9.50,77.5,102.5,218.2,80.0
2024,Jesse Edwards,C,9.25,10.00,83.5,111.0,236.0,89.0
2024,Johnny Furphy,SF,8.00,9.50,79.5,104.5,188.8,80.0
2024,Jonathan Mogbo,PF,8.75,8.75,78.25,108.5,217.2,86.0
2024,Juan Nunez,PG,8.50,9.50,76.0,102.0,205.6,78.5
2024,Justin Edwards,SF,8.75,8.75,78.0,102.5,209.4,82.0
2024,KJ Simpson,PG,8.25,9.25,72.25,93.5,187.0,76.5
2024,Kel'el Ware,C,9.50,10.25,83.75,112.5,230.0,88.5
2024,Keshad Johnson,PF,9.25,10.75,78.25,103.0,224.0,82.25
2024,Kevin McCullar Jr.,SF,8.75,9.50,77.25,103.0,205.8,81.0
2024,Kyle Filipowski,PF,8.75,9.50,82.75,107.0,229.8,82.5
2024,Kyshawn George,SF,9.00,10.25,79.0,105.0,208.8,82.25
2024,Mark Sears,PG,8.00,8.50,70.25,92.0,192.4,74.0
2024,Matas Buzelis,SF,8.50,9.25,80.75,105.5,197.0,82.0
2024,Melvin Ajinca,SF,8.50,9.75,79.25,106.5,213.8,79.5
2024,Michael Ajayi,SF,9.50,9.75,77.75,106.5,227.8,84.75
2024,N'Faly Dante,C,9.25,10.00,82.0,111.0,260.2,90.0
2024,Nae'Qwan Tomlin,PF,9.00,10.00,80.25,109.0,205.0,86.5
2024,Nikola Djurisic,SF,8.50,10.00,79.0,102.5,208.8,80.0
2024,Nikola Topic,PG,8.00,9.00,77.75,102.0,203.0,77.5
2024,Nique Clifford,SF,8.00,9.00,77.0,102.0,198.6,80.0
2024,Oso Ighodaro,C,9.00,10.00,81.5,104.5,222.0,83.0
2024,PJ Hall,C,9.00,9.75,80.25,103.5,239.6,85.5
2024,Pacome Dadiet,SF,8.50,9.00,79.75,107.5,216.8,81.0
2024,Payton Sandfort,SF,8.50,9.00,78.25,104.0,212.0,80.0
2024,Pelle Larsson,SG,8.75,10.25,77.25,102.0,212.4,79.5
2024,Quinten Post,C,9.25,10.00,84.0,112.0,244.4,86.5
2024,Reece Beekman,PG,8.50,9.00,73.25,100.0,196.4,78.5
2024,Reed Sheppard,PG,7.75,9.00,73.75,93.5,181.6,75.25
2024,Robert Dillingham,PG,8.00,8.25,73.0,95.0,164.2,75.0
2024,Ron Holland II,SF,8.75,9.00,78.5,104.0,196.8,82.75
2024,Ryan Dunn,PF,9.00,9.75,78.25,103.0,213.6,85.5
2024,Stephon Castle,SG,8.75,8.75,77.5,102.0,210.0,81.0
2024,Terrence Shannon Jr.,SF,8.75,8.50,77.75,100.0,219.4,80.75
2024,Tidjane Salaun,PF,8.50,9.75,80.75,110.0,217.4,85.5
2024,Trentyn Flowers,SF,8.75,9.50,78.5,100.5,201.4,80.25
2024,Trevon Brazile,PF,9.00,10.25,81.25,108.5,215.0,87.75
2024,Trey Alexander,SG,8.75,10.00,75.25,101.5,187.0,82.5
2024,Tristan Da Silva,PF,9.00,9.50,80.25,104.5,216.8,82.25
2024,Tristen Newton,PG,8.50,9.00,75.25,100.0,191.8,78.75
2024,Tyler Kolek,PG,8.25,9.50,73.25,95.0,196.6,74.75
2024,Tyler Smith,PF,8.50,9.00,81.0,105.0,223.8,85.0
2024,Tyon Grant-Foster,SF,8.75,9.25,77.75,104.0,215.2,83.75
2024,Ulrich Chomche,C,9.25,10.25,82.25,109.0,232.4,88.0
2024,Yves Missi,C,9.50,10.00,82.75,109.5,229.4,86.0
2024,Zaccharie Risacher,SF,8.50,8.75,80.5,107.0,194.6,81.5
2024,Zach Edey,C,10.00,10.75,87.75,115.0,299.0,94.75
2023,Adam Flagler,PG,8.00,9.25,73.0,97.0,191.8,76.5
2023,Adama Sanogo,C,9.75,10.00,79.25,108.5,257.8,86.75
2023,Adem Bona,C,9.25,10.00,80.25,110.5,243.4,
2023,Amari Bailey,SG,8.00,9.25,75.25,103.5,190.8,79.0
2023,Amen Thompson,SG,8.50,8.50,77.75,103.5,214.2,84.0
2023,Andre Jackson Jr.,SF,8.25,9.50,77.5,103.0,198.4,81.75
2023,Anthony Black,PG,8.25,9.50,77.75,102.5,210.0,79.5
2023,Arthur Kaluma,PF,8.50,10.00,78.25,103.5,221.8,84.5
2023,Ausar Thompson,SG,8.75,9.25,77.75,104.0,218.2,84.0
2023,Azuolas Tubelis,PF,9.00,10.50,80.75,108.0,234.8,83.0
2023,Ben Sheppard,SG,8.50,9.50,77.25,100.0,194.6,79.75
2023,Bilal Coulibaly,SG-SF,-,-,,,-,
2023,Bobi Klintman,PF,-,-,,,-,
2023,Brandin Podziemski,SG,8.25,10.00,75.75,96.5,203.8,77.5
2023,Brandon Miller,SF,-,-,,,-,
2023,Brice Sensabaugh,SF,-,-,,,-,
2023,Cam Whitmore,SF,8.00,8.25,77.75,103.5,235.0,80.5
2023,Cason Wallace,PG,8.50,9.25,74.5,101.0,195.2,80.5
2023,Chris Livingston,SF,8.50,9.00,78.0,104.5,219.2,83.25
2023,Colby Jones,SG,8.25,8.50,76.5,103.0,199.2,80.0
2023,Coleman Hawkins,PF,8.75,8.75,80.5,108.5,224.4,84.25
2023,DaRon Holmes II,C,8.50,9.50,81.0,109.0,220.8,84.5
2023,Dariq Whitehead,SG,8.50,10.00,77.75,103.5,217.2,82.25
2023,Dereck Lively Jr.,C,-,-,,,-,
2023,Dillon Mitchell,PF,8.25,9.50,78.75,105.0,193.0,82.0
2023,Drew Timme,C,9.00,10.00,80.75,108.5,243.2,85.75
2023,Emoni Bates,SF,8.00,8.25,80.25,105.0,179.2,81.0
2023,GG Jackson,PF,8.50,10.00,80.25,106.0,214.4,83.5
2023,Gradey Dick,SG,8.25,9.00,78.25,101.0,204.0,80.75
2023,Grant Nelson,PF,9.00,9.50,82.0,106.5,223.4,84.0
2023,Isaiah Wong,SG,8.25,9.50,74.5,97.5,178.4,78.75
2023,Jaime Jaquez Jr.,SF,8.50,9.50,78.0,99.5,226.4,81.5
2023,Jalen Hood-Schifino,PG,9.00,9.75,76.25,100.5,216.6,82.25
2023,Jalen Pickett,PG,8.50,7.50,74.0,98.5,197.8,79.25
2023,Jalen Slawson,PF,9.00,9.00,78.5,106.0,221.6,83.75
2023,Jalen Wilson,SF,8.25,9.00,77.5,99.5,230.2,80.0
2023,James Nnaji,C,-,-,,,-,
2023,Jarace Walker,PF,9.00,10.00,78.5,104.5,248.6,86.5
2023,Jaylen Clark,SG,8.50,9.00,76.0,101.5,204.2,81.0
2023,Jett Howard,SF,-,-,,,-,
2023,Jordan Hawkins,SG,8.25,8.75,76.25,101.5,186.0,78.75
2023,Jordan Miller,SF,8.50,9.25,76.5,103.5,191.6,83.75
